2020/12/02 15:54:19 [error] 28#28: *1 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: , request: "GET /favicon.ico HTTP/1.1", upstream: "fastcgi://172.18.0.4:9000", host: "localhost:2229", referrer: "http://localhost:2229/kickstart.php"
2020/12/03 14:33:34 [error] 28#28: *4 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: , request: "GET /js/login.temp HTTP/1.1", upstream: "fastcgi://172.18.0.4:9000", host: "localhost:2229", referrer: "http://localhost:2229/js/templates.js"
2020/12/03 14:33:34 [error] 28#28: *3 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: , request: "GET /js/boads.temp HTTP/1.1", upstream: "fastcgi://172.18.0.4:9000", host: "localhost:2229", referrer: "http://localhost:2229/js/templates.js"
2020/12/03 14:33:34 [error] 28#28: *4 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: , request: "GET /favicon.ico HTTP/1.1", upstream: "fastcgi://172.18.0.4:9000", host: "localhost:2229", referrer: "http://localhost:2229/"
2020/12/03 14:46:40 [error] 29#29: *12 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: , request: "GET /js/custom.js HTTP/1.1", upstream: "fastcgi://172.18.0.4:9000", host: "localhost:2229", referrer: "http://localhost:2229/"
2020/12/03 14:46:40 [error] 29#29: *15 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: , request: "GET /js/custom.js HTTP/1.1", upstream: "fastcgi://172.18.0.4:9000", host: "localhost:2229", referrer: "http://localhost:2229/"
2020/12/03 14:46:40 [error] 29#29: *15 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: , request: "GET /favicon.ico HTTP/1.1", upstream: "fastcgi://172.18.0.4:9000", host: "localhost:2229", referrer: "http://localhost:2229/"
2020/12/03 14:46:41 [error] 29#29: *13 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: , request: "GET /js/custom.js HTTP/1.1", upstream: "fastcgi://172.18.0.4:9000", host: "localhost:2229", referrer: "http://localhost:2229/"
2020/12/03 14:46:41 [error] 28#28: *10 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: , request: "GET /js/custom.js HTTP/1.1", upstream: "fastcgi://172.18.0.4:9000", host: "localhost:2229", referrer: "http://localhost:2229/"
2020/12/03 14:46:41 [error] 28#28: *10 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: , request: "GET /favicon.ico HTTP/1.1", upstream: "fastcgi://172.18.0.4:9000", host: "localhost:2229", referrer: "http://localhost:2229/"
2020/12/03 14:46:54 [error] 28#28: *11 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: , request: "GET /favicon.ico HTTP/1.1", upstream: "fastcgi://172.18.0.4:9000", host: "localhost:2229", referrer: "http://localhost:2229/"
2020/12/03 14:51:01 [error] 28#28: *24 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: , request: "GET /favicon.ico HTTP/1.1", upstream: "fastcgi://172.18.0.4:9000", host: "localhost:2229", referrer: "http://localhost:2229/"
2020/12/03 14:51:28 [error] 28#28: *27 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: , request: "GET /favicon.ico HTTP/1.1", upstream: "fastcgi://172.18.0.4:9000", host: "localhost:2229", referrer: "http://localhost:2229/"
2020/12/03 14:51:41 [error] 28#28: *25 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: , request: "GET /favicon.ico HTTP/1.1", upstream: "fastcgi://172.18.0.4:9000", host: "localhost:2229", referrer: "http://localhost:2229/"
2020/12/03 15:01:10 [error] 30#30: *36 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: , request: "GET /favicon.ico HTTP/1.1", upstream: "fastcgi://172.18.0.4:9000", host: "localhost:2229", referrer: "http://localhost:2229/?"
2020/12/03 15:03:33 [error] 28#28: *44 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: , request: "GET /favicon.ico HTTP/1.1", upstream: "fastcgi://172.18.0.4:9000", host: "localhost:2229", referrer: "http://localhost:2229/?"
2020/12/03 15:05:33 [error] 28#28: *49 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: , request: "GET /favicon.ico HTTP/1.1", upstream: "fastcgi://172.18.0.4:9000", host: "localhost:2229", referrer: "http://localhost:2229/?"
2020/12/03 15:06:52 [error] 28#28: *59 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: , request: "GET /favicon.ico HTTP/1.1", upstream: "fastcgi://172.18.0.4:9000", host: "localhost:2229", referrer: "http://localhost:2229/?"
2020/12/03 15:12:47 [error] 28#28: *64 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: , request: "GET /favicon.ico HTTP/1.1", upstream: "fastcgi://172.18.0.4:9000", host: "localhost:2229", referrer: "http://localhost:2229/?"
2020/12/03 15:12:53 [error] 28#28: *64 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: , request: "POST /ajaxfile.php HTTP/1.1", upstream: "fastcgi://172.18.0.4:9000", host: "localhost:2229", referrer: "http://localhost:2229/?"
2020/12/03 15:21:43 [error] 29#29: *72 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: , request: "GET /favicon.ico HTTP/1.1", upstream: "fastcgi://172.18.0.4:9000", host: "localhost:2229", referrer: "http://localhost:2229/?"
2020/12/03 15:21:45 [error] 29#29: *72 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: , request: "POST /ajaxfile.php HTTP/1.1", upstream: "fastcgi://172.18.0.4:9000", host: "localhost:2229", referrer: "http://localhost:2229/?"
